case_date,case_weekday,case_week_ending,deprivation_lmm,cases,cases_per_100k,cases_mean7,cases_per_100k_mean7
2024-06-24,Monday,2024-06-30,Mid-range deprivation,240,11.9689,212.2857,10.5868
2024-06-24,Monday,2024-06-30,Most deprived,172,10.9633,142.2857,9.0693
2024-06-23,Sunday,2024-06-23,Least deprived,148,9.7762,200.5714,13.2488
2024-06-23,Sunday,2024-06-23,Mid-range deprivation,156,7.7798,226.2857,11.285
2024-06-23,Sunday,2024-06-23,Most deprived,79,5.0355,155.8571,9.9343
2024-06-22,Saturday,2024-06-23,Least deprived,98,6.4734,209.2857,13.8245
2024-06-22,Saturday,2024-06-23,Mid-range deprivation,121,6.0343,233.5714,11.6483
2024-06-22,Saturday,2024-06-23,Most deprived,71,4.5255,162.7143,10.3714
2024-06-21,Friday,2024-06-23,Least deprived,146,9.6441,215.8571,14.2585
2024-06-21,Friday,2024-06-23,Mid-range deprivation,193,9.625,238.7143,11.9048
2024-06-21,Friday,2024-06-23,Most deprived,121,7.7125,167.5714,10.681
2024-06-20,Thursday,2024-06-23,Least deprived,209,13.8056,222,14.6643
2024-06-20,Thursday,2024-06-23,Mid-range deprivation,227,11.3206,248.5714,12.3964
2024-06-20,Thursday,2024-06-23,Most deprived,152,9.6885,172.1429,10.9724
2024-06-19,Wednesday,2024-06-23,Least deprived,240,15.8533,224.4286,14.8247
2024-06-19,Wednesday,2024-06-23,Mid-range deprivation,256,12.7669,254.1429,12.6742
2024-06-19,Wednesday,2024-06-23,Most deprived,183,11.6644,179.2857,11.4277
2024-06-18,Tuesday,2024-06-23,Least deprived,223,14.7304,230.4286,15.2211
2024-06-18,Tuesday,2024-06-23,Mid-range deprivation,293,14.6121,263.7143,13.1516
2024-06-18,Tuesday,2024-06-23,Most deprived,218,13.8953,184.4286,11.7555
2024-06-17,Monday,2024-06-23,Least deprived,340,22.4588,241.5714,15.9571
2024-06-17,Monday,2024-06-23,Mid-range deprivation,338,16.8562,278.8571,13.9068
2024-06-17,Monday,2024-06-23,Most deprived,267,17.0186,190.8571,12.1652
2024-06-16,Sunday,2024-06-16,Least deprived,209,13.8056,249,16.4478
2024-06-16,Sunday,2024-06-16,Mid-range deprivation,207,10.3232,287.8571,14.3556
2024-06-16,Sunday,2024-06-16,Most deprived,127,8.095,196.2857,12.5112
2024-06-15,Saturday,2024-06-16,Least deprived,144,9.512,251.8571,16.6365
2024-06-15,Saturday,2024-06-16,Mid-range deprivation,157,7.8297,299.5714,14.9398
2024-06-15,Saturday,2024-06-16,Most deprived,105,6.6927,206.5714,13.1669
2024-06-14,Friday,2024-06-16,Least deprived,189,12.4845,262.1429,17.316
2024-06-14,Friday,2024-06-16,Mid-range deprivation,262,13.0661,313.8571,15.6522
2024-06-14,Friday,2024-06-16,Most deprived,153,9.7522,210,13.3854
2024-06-13,Thursday,2024-06-16,Least deprived,226,14.9285,275.4286,18.1936
2024-06-13,Thursday,2024-06-16,Mid-range deprivation,266,13.2656,323.7143,16.1438
2024-06-13,Thursday,2024-06-16,Most deprived,202,12.8755,225,14.3415
2024-06-12,Wednesday,2024-06-16,Least deprived,282,18.6276,289.7143,19.1372
2024-06-12,Wednesday,2024-06-16,Mid-range deprivation,323,16.1082,342.5714,17.0842
2024-06-12,Wednesday,2024-06-16,Most deprived,219,13.9591,238.1429,15.1792
2024-06-11,Tuesday,2024-06-16,Least deprived,301,19.8827,309.5714,20.4489
2024-06-11,Tuesday,2024-06-16,Mid-range deprivation,399,19.8984,365.1429,18.2099
2024-06-11,Tuesday,2024-06-16,Most deprived,263,16.7636,255,16.2537
2024-06-10,Monday,2024-06-16,Least deprived,392,25.8937,328,21.6662
2024-06-10,Monday,2024-06-16,Mid-range deprivation,401,19.9981,387.4286,19.3213
2024-06-10,Monday,2024-06-16,Most deprived,305,19.4407,270.7143,17.2553
2024-06-09,Sunday,2024-06-09,Least deprived,229,15.1267,309.8571,20.4677
2024-06-09,Sunday,2024-06-09,Mid-range deprivation,289,14.4126,377,18.8012
2024-06-09,Sunday,2024-06-09,Most deprived,199,12.6843,258.7143,16.4904
2024-06-08,Saturday,2024-06-09,Least deprived,216,14.268,311.1429,20.5527
2024-06-08,Saturday,2024-06-09,Mid-range deprivation,257,12.8167,373.7143,18.6373
2024-06-08,Saturday,2024-06-09,Most deprived,129,8.2225,256.1429,16.3265
2024-06-07,Friday,2024-06-09,Least deprived,282,18.6276,307.2857,20.2979
2024-06-07,Friday,2024-06-09,Mid-range deprivation,331,16.5072,378.7143,18.8867
2024-06-07,Friday,2024-06-09,Most deprived,258,16.4449,255.8571,16.3083
2024-06-06,Thursday,2024-06-09,Least deprived,326,21.5341,306.5714,20.2507
2024-06-06,Thursday,2024-06-09,Mid-range deprivation,398,19.8485,377.8571,18.8439
2024-06-06,Thursday,2024-06-09,Most deprived,294,18.7396,252.1429,16.0716
2024-06-05,Wednesday,2024-06-09,Least deprived,421,27.8093,307.7143,20.3262
2024-06-05,Wednesday,2024-06-09,Mid-range deprivation,481,23.9877,383.5714,19.1289
2024-06-05,Wednesday,2024-06-09,Most deprived,337,21.4804,251.2857,16.0169
2024-06-04,Tuesday,2024-06-09,Least deprived,430,28.4038,304.2857,20.0997
2024-06-04,Tuesday,2024-06-09,Mid-range deprivation,555,27.6782,382.7143,19.0862
2024-06-04,Tuesday,2024-06-09,Most deprived,373,23.775,249.5714,15.9077
2024-06-03,Monday,2024-06-09,Least deprived,265,17.5047,307.7143,20.3262
2024-06-03,Monday,2024-06-09,Mid-range deprivation,328,16.3575,380.4286,18.9722
2024-06-03,Monday,2024-06-09,Most deprived,221,14.0865,245.8571,15.6709
2024-06-02,Sunday,2024-06-02,Least deprived,238,15.7212,341.4286,22.5532
2024-06-02,Sunday,2024-06-02,Mid-range deprivation,266,13.2656,418.7143,20.8815
2024-06-02,Sunday,2024-06-02,Most deprived,181,11.5369,273.5714,17.4374
2024-06-01,Saturday,2024-06-02,Least deprived,189,12.4845,346.8571,22.9118
2024-06-01,Saturday,2024-06-02,Mid-range deprivation,292,14.5622,424.5714,21.1736
2024-06-01,Saturday,2024-06-02,Most deprived,127,8.095,278.5714,17.7561
2024-05-31,Friday,2024-06-02,Least deprived,277,18.2974,351.2857,23.2043
