case_date,case_weekday,case_week_ending,ethnicity_mpao,cases,cases_per_100k,cases_mean7,cases_per_100k_mean7
2024-06-29,Saturday,2024-06-30,European or Other,218,6.8826,322,10.1661
2024-06-28,Friday,2024-06-30,Maori,27,3.3665,51.1429,6.3767
2024-06-28,Friday,2024-06-30,Pacific peoples,10,2.5577,19.8571,5.0789
2024-06-28,Friday,2024-06-30,Asian,32,3.8367,46.2857,5.5495
2024-06-28,Friday,2024-06-30,European or Other,213,6.7248,323.2857,10.2067
2024-06-27,Thursday,2024-06-30,Maori,45,5.6108,54.7143,6.822
2024-06-27,Thursday,2024-06-30,Pacific peoples,10,2.5577,21,5.3713
2024-06-27,Thursday,2024-06-30,Asian,44,5.2754,48.7143,5.8407
2024-06-27,Thursday,2024-06-30,European or Other,304,9.5978,342,10.7975
2024-06-26,Wednesday,2024-06-30,Maori,57,7.107,57.4286,7.1604
2024-06-26,Wednesday,2024-06-30,Pacific peoples,24,6.1386,23,5.8828
2024-06-26,Wednesday,2024-06-30,Asian,52,6.2346,50.4286,6.0462
2024-06-26,Wednesday,2024-06-30,European or Other,375,11.8394,362,11.4289
2024-06-25,Tuesday,2024-06-30,Maori,79,9.85,60.5714,7.5523
2024-06-25,Tuesday,2024-06-30,Pacific peoples,32,8.1848,24.2857,6.2117000000000004
2024-06-25,Tuesday,2024-06-30,Asian,55,6.5943,53.2857,6.3888
2024-06-25,Tuesday,2024-06-30,European or Other,420,13.2601,380.4286,12.0108
2024-06-24,Monday,2024-06-30,Maori,72,8.9772,60.1429,7.4988
2024-06-24,Monday,2024-06-30,Pacific peoples,35,8.9521,24.2857,6.2117000000000004
2024-06-24,Monday,2024-06-30,Asian,70,8.3927,58.2857,6.9882
2024-06-24,Monday,2024-06-30,European or Other,437,13.7968,398.5714,12.5836
2024-06-23,Sunday,2024-06-23,Maori,45,5.6108,66.5714,8.3004
2024-06-23,Sunday,2024-06-23,Pacific peoples,18,4.6039,25.4286,6.504
2024-06-23,Sunday,2024-06-23,Asian,42,5.0356,60,7.1938
2024-06-23,Sunday,2024-06-23,European or Other,287,9.0611,438.4286,13.8419
2024-06-22,Saturday,2024-06-23,Maori,33,4.1146,68,8.4785
2024-06-22,Saturday,2024-06-23,Pacific peoples,10,2.5577,26.5714,6.7963
2024-06-22,Saturday,2024-06-23,Asian,29,3.477,62.7143,7.5192
2024-06-22,Saturday,2024-06-23,European or Other,227,7.1668,455.1429,14.3696
2024-06-21,Friday,2024-06-23,Maori,52,6.4835,69.1429,8.621
2024-06-21,Friday,2024-06-23,Pacific peoples,18,4.6039,28,7.1617
2024-06-21,Friday,2024-06-23,Asian,49,5.8749,66.1429,7.9303
2024-06-21,Friday,2024-06-23,European or Other,344,10.8606,464.8571,14.6763
2024-06-20,Thursday,2024-06-23,Maori,64,7.9798,70.1429,8.7457
2024-06-20,Thursday,2024-06-23,Pacific peoples,24,6.1386,29.5714,7.5636
2024-06-20,Thursday,2024-06-23,Asian,56,6.7142,67.5714,8.1016
2024-06-20,Thursday,2024-06-23,European or Other,444,14.0178,482.7143,15.2401
2024-06-19,Wednesday,2024-06-23,Maori,79,9.85,73.4286,9.1553
2024-06-19,Wednesday,2024-06-23,Pacific peoples,33,8.4405,31.2857,8.0021
2024-06-19,Wednesday,2024-06-23,Asian,72,8.6325,72.4286,8.6839
2024-06-19,Wednesday,2024-06-23,European or Other,504,15.9121,489.5714,15.4566
2024-06-18,Tuesday,2024-06-23,Maori,76,9.476,75.1429,9.3691
2024-06-18,Tuesday,2024-06-23,Pacific peoples,32,8.1848,32.2857,8.2578
2024-06-18,Tuesday,2024-06-23,Asian,90,10.7907,76.1429,9.1292
2024-06-18,Tuesday,2024-06-23,European or Other,547,17.2697,503.5714,15.8986
2024-06-17,Monday,2024-06-23,Maori,117,14.588,80.2857,10.0103
2024-06-17,Monday,2024-06-23,Pacific peoples,43,10.9983,33.4286,8.5502
2024-06-17,Monday,2024-06-23,Asian,82,9.8315,77.1429,9.2491
2024-06-17,Monday,2024-06-23,European or Other,716,22.6053,529,16.7014
2024-06-16,Sunday,2024-06-16,Maori,55,6.8576,81.8571,10.2062
2024-06-16,Sunday,2024-06-16,Pacific peoples,26,6.6501,35,8.9521
2024-06-16,Sunday,2024-06-16,Asian,61,7.3137,82.7143,9.9171
2024-06-16,Sunday,2024-06-16,European or Other,404,12.7549,540.7143,17.0712
2024-06-15,Saturday,2024-06-16,Maori,41,5.112,84.8571,10.5803
2024-06-15,Saturday,2024-06-16,Pacific peoples,20,5.1155,36.1429,9.2444
2024-06-15,Saturday,2024-06-16,Asian,53,6.3545,85.8571,10.2939
2024-06-15,Saturday,2024-06-16,European or Other,295,9.3136,559.5714,17.6666
2024-06-14,Friday,2024-06-16,Maori,59,7.3563,87.5714,10.9187
2024-06-14,Friday,2024-06-16,Pacific peoples,29,7.4174,36.7143,9.3906
2024-06-14,Friday,2024-06-16,Asian,59,7.0739,87.4286,10.4824
2024-06-14,Friday,2024-06-16,European or Other,469,14.8071,583.2857,18.4153
2024-06-13,Thursday,2024-06-16,Maori,87,10.8475,95.8571,11.9518
2024-06-13,Thursday,2024-06-16,Pacific peoples,36,9.2079,39.4286,10.0848
2024-06-13,Thursday,2024-06-16,Asian,90,10.7907,92.7143,11.1161
2024-06-13,Thursday,2024-06-16,European or Other,492,15.5333,605.8571,19.1279
2024-06-12,Wednesday,2024-06-16,Maori,91,11.3462,105.2857,13.1274
2024-06-12,Wednesday,2024-06-16,Pacific peoples,40,10.231,39.2857,10.0483
2024-06-12,Wednesday,2024-06-16,Asian,98,11.7498,95.2857,11.4244
2024-06-12,Wednesday,2024-06-16,European or Other,602,19.0061,639.8571,20.2013
2024-06-11,Tuesday,2024-06-16,Maori,112,13.9646,109.5714,13.6618
2024-06-11,Tuesday,2024-06-16,Pacific peoples,40,10.231,42.5714,10.8887
2024-06-11,Tuesday,2024-06-16,Asian,97,11.6299,100.1429,12.0067
2024-06-11,Tuesday,2024-06-16,European or Other,725,22.8895,688.1429,21.7258
2024-06-10,Monday,2024-06-16,Maori,128,15.9595,115.4286,14.3921
2024-06-10,Monday,2024-06-16,Pacific peoples,54,13.8118,46.5714,11.9118
2024-06-10,Monday,2024-06-16,Asian,121,14.5074,106,12.709
2024-06-10,Monday,2024-06-16,European or Other,798,25.1942,729.7143,23.0383
2024-06-09,Sunday,2024-06-09,Maori,76,9.476,111.2857,13.8755
2024-06-09,Sunday,2024-06-09,Pacific peoples,34,8.6963,43.4286,11.1079
2024-06-09,Sunday,2024-06-09,Asian,83,9.9514,101,12.1095
2024-06-09,Sunday,2024-06-09,European or Other,536,16.9224,702.1429,22.1678
2024-06-08,Saturday,2024-06-09,Maori,60,7.481,110.1429,13.733
2024-06-08,Saturday,2024-06-09,Pacific peoples,24,6.1386,41.7143,10.6694
2024-06-08,Saturday,2024-06-09,Asian,64,7.6734,98.4286,11.8012
2024-06-08,Saturday,2024-06-09,European or Other,461,14.5545,702.1429,22.1678
2024-06-07,Friday,2024-06-09,Maori,117,14.588,109.1429,13.6083
2024-06-07,Friday,2024-06-09,Pacific peoples,48,12.2772,42.7143,10.9252
2024-06-07,Friday,2024-06-09,Asian,96,11.51,96.4286,11.5614
2024-06-07,Friday,2024-06-09,European or Other,627,19.7954,704.1429,22.231
2024-06-06,Thursday,2024-06-09,Maori,153,19.0766,106.1429,13.2343
2024-06-06,Thursday,2024-06-09,Pacific peoples,35,8.9521,41.7143,10.6694
2024-06-06,Thursday,2024-06-09,Asian,108,12.9488,94.4286,11.3216
2024-06-06,Thursday,2024-06-09,European or Other,730,23.0473,704.8571,22.2535
2024-06-05,Wednesday,2024-06-09,Maori,121,15.0867,101.7143,12.6821
2024-06-05,Wednesday,2024-06-09,Pacific peoples,63,16.1138,45.4286,11.6195
2024-06-05,Wednesday,2024-06-09,Asian,132,15.8263,94.7143,11.3559
2024-06-05,Wednesday,2024-06-09,European or Other,940,29.6774,711.7143,22.47
2024-06-04,Tuesday,2024-06-09,Maori,153,19.0766,106,13.2165
2024-06-04,Tuesday,2024-06-09,Pacific peoples,68,17.3926,45,11.5098
2024-06-04,Tuesday,2024-06-09,Asian,138,16.5457,94.7143,11.3559
2024-06-04,Tuesday,2024-06-09,European or Other,1016,32.0768,701.7143,22.1543
2024-06-03,Monday,2024-06-09,Maori,99,12.3437,107.5714,13.4124
2024-06-03,Monday,2024-06-09,Pacific peoples,32,8.1848,45,11.5098
2024-06-03,Monday,2024-06-09,Asian,86,10.3111,94.7143,11.3559
2024-06-03,Monday,2024-06-09,European or Other,605,19.1009,698.1429,22.0415
2024-06-02,Sunday,2024-06-02,Maori,68,8.4785,119,14.8374
2024-06-02,Sunday,2024-06-02,Pacific peoples,22,5.627,47.7143,12.2041
2024-06-02,Sunday,2024-06-02,Asian,65,7.7933,105.8571,12.6919
2024-06-02,Sunday,2024-06-02,European or Other,536,16.9224,774.7143,24.459
2024-06-01,Saturday,2024-06-02,Maori,53,6.6082,123.1429,15.3539
2024-06-01,Saturday,2024-06-02,Pacific peoples,31,7.929,48.5714,12.4233
2024-06-01,Saturday,2024-06-02,Asian,50,5.9948,109.2857,13.1029
2024-06-01,Saturday,2024-06-02,European or Other,475,14.9965,781.8571,24.6845
2024-05-31,Friday,2024-06-02,Maori,96,11.9696,125.7143,15.6745
2024-05-31,Friday,2024-06-02,Pacific peoples,41,10.4867,48.1429,12.3137
2024-05-31,Friday,2024-06-02,Asian,82,9.8315,113.1429,13.5654
2024-05-31,Friday,2024-06-02,European or Other,632,19.9533,789.4286,24.9236
2024-05-30,Thursday,2024-06-02,Maori,122,15.2114,128.8571,16.0664
2024-05-30,Thursday,2024-06-02,Pacific peoples,61,15.6022,50.2857,12.8618
2024-05-30,Thursday,2024-06-02,Asian,110,13.1886,117.7143,14.1135
2024-05-30,Thursday,2024-06-02,European or Other,778,24.5627,793.4286,25.0499
2024-05-29,Wednesday,2024-06-02,Maori,151,18.8272,129.5714,16.1554
2024-05-29,Wednesday,2024-06-02,Pacific peoples,60,15.3464,48.5714,12.4233
2024-05-29,Wednesday,2024-06-02,Asian,132,15.8263,115.5714,13.8566
2024-05-29,Wednesday,2024-06-02,European or Other,870,27.4673,788,24.8785
2024-05-28,Tuesday,2024-06-02,Maori,164,20.4481,126.7143,15.7992
2024-05-28,Tuesday,2024-06-02,Pacific peoples,68,17.3926,47.5714,12.1675
2024-05-28,Tuesday,2024-06-02,Asian,138,16.5457,110.2857,13.2228
2024-05-28,Tuesday,2024-06-02,European or Other,991,31.2875,759.1429,23.9674
2024-05-27,Monday,2024-06-02,Maori,179,22.3184,123.1429,15.3539
2024-05-27,Monday,2024-06-02,Pacific peoples,51,13.0445,45.8571,11.7291
2024-05-27,Monday,2024-06-02,Asian,164,19.663,104.5714,12.5377
2024-05-27,Monday,2024-06-02,European or Other,1141,36.0233,736.2857,23.2458
2024-05-26,Sunday,2024-05-26,Maori,97,12.0943,115.7143,14.4277
2024-05-26,Sunday,2024-05-26,Pacific peoples,28,7.1617,46.8571,11.9848
2024-05-26,Sunday,2024-05-26,Asian,89,10.6708,99.5714,11.9382
2024-05-26,Sunday,2024-05-26,European or Other,586,18.501,682.8571,21.5589
2024-05-25,Saturday,2024-05-26,Maori,71,8.8525,111.5714,13.9111
2024-05-25,Saturday,2024-05-26,Pacific peoples,28,7.1617,48,12.2772
2024-05-25,Saturday,2024-05-26,Asian,77,9.232,97,11.6299
2024-05-25,Saturday,2024-05-26,European or Other,528,16.6698,670,21.153
2024-05-24,Friday,2024-05-26,Maori,118,14.7127,107.7143,13.4302
2024-05-24,Friday,2024-05-26,Pacific peoples,56,14.3233,46.7143,11.9483
2024-05-24,Friday,2024-05-26,Asian,114,13.6682,93.1429,11.1675
2024-05-24,Friday,2024-05-26,European or Other,660,20.8373,646.8571,20.4224
2024-05-23,Thursday,2024-05-26,Maori,127,15.8348,104.2857,13.0027
2024-05-23,Thursday,2024-05-26,Pacific peoples,49,12.5329,43.7143,11.181
2024-05-23,Thursday,2024-05-26,Asian,95,11.3901,89,10.6708
2024-05-23,Thursday,2024-05-26,European or Other,740,23.363,634,20.0164
2024-05-22,Wednesday,2024-05-26,Maori,131,16.3336,98.4286,12.2724
2024-05-22,Wednesday,2024-05-26,Pacific peoples,53,13.556,42.2857,10.8156
2024-05-22,Wednesday,2024-05-26,Asian,95,11.3901,89.2857,10.705
2024-05-22,Wednesday,2024-05-26,European or Other,668,21.0899,611.8571,19.3173
2024-05-21,Tuesday,2024-05-26,Maori,139,17.331,99.2857,12.3793
2024-05-21,Tuesday,2024-05-26,Pacific peoples,56,14.3233,40.2857,10.304
2024-05-21,Tuesday,2024-05-26,Asian,98,11.7498,92.2857,11.0647
2024-05-21,Tuesday,2024-05-26,European or Other,831,26.236,611.2857,19.2993
2024-05-20,Monday,2024-05-26,Maori,127,15.8348,91.1429,11.364
2024-05-20,Monday,2024-05-26,Pacific peoples,58,14.8349,38.2857,9.7925
2024-05-20,Monday,2024-05-26,Asian,129,15.4666,94.8571,11.373
2024-05-20,Monday,2024-05-26,European or Other,767,24.2155,572.5714,18.077
2024-05-19,Sunday,2024-05-19,Maori,68,8.4785,88.4286,11.0256
2024-05-19,Sunday,2024-05-19,Pacific peoples,36,9.2079,36.4286,9.3175
2024-05-19,Sunday,2024-05-19,Asian,71,8.5126,90.2857,10.8249
2024-05-19,Sunday,2024-05-19,European or Other,496,15.6595,545,17.2066
2024-05-18,Saturday,2024-05-19,Maori,44,5.4861,85.5714,10.6694
2024-05-18,Saturday,2024-05-19,Pacific peoples,19,4.8597,33.7143,8.6232
2024-05-18,Saturday,2024-05-19,Asian,50,5.9948,88.1429,10.568
2024-05-18,Saturday,2024-05-19,European or Other,366,11.5552,520.5714,16.4353
2024-05-17,Friday,2024-05-19,Maori,94,11.7203,85.5714,10.6694
2024-05-17,Friday,2024-05-19,Pacific peoples,35,8.9521,33,8.4405
2024-05-17,Friday,2024-05-19,Asian,85,10.1912,87.5714,10.4995
2024-05-17,Friday,2024-05-19,European or Other,570,17.9958,502.1429,15.8535
2024-05-16,Thursday,2024-05-19,Maori,86,10.7228,78.7143,9.8144
2024-05-16,Thursday,2024-05-19,Pacific peoples,39,9.9752,30.5714,7.8194
2024-05-16,Thursday,2024-05-19,Asian,97,11.6299,81.8571,9.8144
2024-05-16,Thursday,2024-05-19,European or Other,585,18.4694,464.7143,14.6718
2024-05-15,Wednesday,2024-05-19,Maori,137,17.0817,73.8571,9.2088
2024-05-15,Wednesday,2024-05-19,Pacific peoples,39,9.9752,28.5714,7.3078
2024-05-15,Wednesday,2024-05-19,Asian,116,13.908,74,8.8723
2024-05-15,Wednesday,2024-05-19,European or Other,664,20.9636,426.1429,13.454
2024-05-14,Tuesday,2024-05-19,Maori,82,10.2241,62.5714,7.8016
2024-05-14,Tuesday,2024-05-19,Pacific peoples,42,10.7425,27,6.9059
2024-05-14,Tuesday,2024-05-19,Asian,116,13.908,65.5714,7.8618
2024-05-14,Tuesday,2024-05-19,European or Other,560,17.6801,381.2857,12.0378
2024-05-13,Monday,2024-05-19,Maori,108,13.4658,59.8571,7.4632
2024-05-13,Monday,2024-05-19,Pacific peoples,45,11.5098,25.8571,6.6136
2024-05-13,Monday,2024-05-19,Asian,97,11.6299,58.1429,6.9711
2024-05-13,Monday,2024-05-19,European or Other,574,18.1221,353.8571,11.1719
2024-05-12,Sunday,2024-05-12,Maori,48,5.9848,55,6.8576
2024-05-12,Sunday,2024-05-12,Pacific peoples,17,4.3482,23.5714,6.029
2024-05-12,Sunday,2024-05-12,Asian,56,6.7142,54.2857,6.5086
2024-05-12,Sunday,2024-05-12,European or Other,325,10.2608,343.8571,10.8561
2024-05-11,Saturday,2024-05-12,Maori,44,5.4861,53.5714,6.6795
2024-05-11,Saturday,2024-05-12,Pacific peoples,14,3.5808,22.4286,5.7366
2024-05-11,Saturday,2024-05-12,Asian,46,5.5152,49.7143,5.9606
2024-05-11,Saturday,2024-05-12,European or Other,237,7.4825,331.8571,10.4773
2024-05-10,Friday,2024-05-12,Maori,46,5.7354,51.4286,6.4123
2024-05-10,Friday,2024-05-12,Pacific peoples,18,4.6039,21.1429,5.4078
2024-05-10,Friday,2024-05-12,Asian,45,5.3953,47.1429,5.6522
2024-05-10,Friday,2024-05-12,European or Other,308,9.7241,323.4286,10.2112
2024-05-09,Thursday,2024-05-12,Maori,52,6.4835,51.4286,6.4123
2024-05-09,Thursday,2024-05-12,Pacific peoples,25,6.3944,22.4286,5.7366
2024-05-09,Thursday,2024-05-12,Asian,42,5.0356,46.8571,5.618
2024-05-09,Thursday,2024-05-12,European or Other,315,9.9451,319.4286,10.0849
2024-05-08,Wednesday,2024-05-12,Maori,58,7.2316,51.4286,6.4123
2024-05-08,Wednesday,2024-05-12,Pacific peoples,28,7.1617,21.5714,5.5174
2024-05-08,Wednesday,2024-05-12,Asian,57,6.8341,48.2857,5.7893
2024-05-08,Wednesday,2024-05-12,European or Other,350,11.0501,315.1429,9.9496
2024-05-07,Tuesday,2024-05-12,Maori,63,7.8551,53.2857,6.6439
2024-05-07,Tuesday,2024-05-12,Pacific peoples,34,8.6963,20.8571,5.3347
2024-05-07,Tuesday,2024-05-12,Asian,64,7.6734,47.7143,5.7208
2024-05-07,Tuesday,2024-05-12,European or Other,368,11.6184,314.4286,9.927
2024-05-06,Monday,2024-05-12,Maori,74,9.2266,53.7143,6.6973
2024-05-06,Monday,2024-05-12,Pacific peoples,29,7.4174,19,4.8597
2024-05-06,Monday,2024-05-12,Asian,70,8.3927,46.7143,5.6009
2024-05-06,Monday,2024-05-12,European or Other,504,15.9121,312.7143,9.8729
2024-05-05,Sunday,2024-05-05,Maori,38,4.738,50.1429,6.252
2024-05-05,Sunday,2024-05-05,Pacific peoples,9,2.302,18.8571,4.8232
2024-05-05,Sunday,2024-05-05,Asian,24,2.8775,45.2857,5.4296
2024-05-05,Sunday,2024-05-05,European or Other,241,7.6088,293.7143,9.273
2024-05-04,Saturday,2024-05-05,Maori,29,3.6158,50.8571,6.3411
2024-05-04,Saturday,2024-05-05,Pacific peoples,5,1.2789,19.2857,4.9328
2024-05-04,Saturday,2024-05-05,Asian,28,3.3571,46.8571,5.618
2024-05-04,Saturday,2024-05-05,European or Other,178,5.6198,290.8571,9.1828
2024-05-03,Friday,2024-05-05,Maori,46,5.7354,50.4286,6.2876
2024-05-03,Friday,2024-05-05,Pacific peoples,27,6.9059,19.5714,5.0059
2024-05-03,Friday,2024-05-05,Asian,43,5.1555,46.1429,5.5324
2024-05-03,Friday,2024-05-05,European or Other,280,8.8401,290.4286,9.1693
2024-05-02,Thursday,2024-05-05,Maori,52,6.4835,48.5714,6.0561
2024-05-02,Thursday,2024-05-05,Pacific peoples,19,4.8597,17.4286,4.4578
2024-05-02,Thursday,2024-05-05,Asian,52,6.2346,42.8571,5.1384
2024-05-02,Thursday,2024-05-05,European or Other,285,8.9979,289.2857,9.1332
2024-05-01,Wednesday,2024-05-05,Maori,71,8.8525,43.7143,5.4505
2024-05-01,Wednesday,2024-05-05,Pacific peoples,23,5.8828,15.7143,4.0193
2024-05-01,Wednesday,2024-05-05,Asian,53,6.3545,39.7143,4.7616
2024-05-01,Wednesday,2024-05-05,European or Other,345,10.8922,274.1429,8.6551
2024-04-30,Tuesday,2024-05-05,Maori,66,8.2291,40.8571,5.0942
2024-04-30,Tuesday,2024-05-05,Pacific peoples,21,5.3713,15.7143,4.0193
2024-04-30,Tuesday,2024-05-05,Asian,57,6.8341,37.4286,4.4875
2024-04-30,Tuesday,2024-05-05,European or Other,356,11.2395,262.5714,8.2898
2024-04-29,Monday,2024-05-05,Maori,49,6.1095,37.8571,4.7202
2024-04-29,Monday,2024-05-05,Pacific peoples,28,7.1617,15.7143,4.0193
2024-04-29,Monday,2024-05-05,Asian,60,7.1938,34.1429,4.0936
2024-04-29,Monday,2024-05-05,European or Other,371,11.7131,254.5714,8.0372
2024-04-28,Sunday,2024-04-28,Maori,43,5.3614,38.2857,4.7736
2024-04-28,Sunday,2024-04-28,Pacific peoples,12,3.0693,13.8571,3.5443
2024-04-28,Sunday,2024-04-28,Asian,35,4.1964,31.8571,3.8195
2024-04-28,Sunday,2024-04-28,European or Other,221,6.9773,249.5714,7.8794
2024-04-27,Saturday,2024-04-28,Maori,26,3.2418,35.5714,4.4352
2024-04-27,Saturday,2024-04-28,Pacific peoples,7,1.7904,13.4286,3.4347
2024-04-27,Saturday,2024-04-28,Asian,23,2.7576,30.1429,3.614
2024-04-27,Saturday,2024-04-28,European or Other,175,5.525,243.2857,7.6809
2024-04-26,Friday,2024-04-28,Maori,33,4.1146,34.8571,4.3461
2024-04-26,Friday,2024-04-28,Pacific peoples,12,3.0693,13.7143,3.5078
2024-04-26,Friday,2024-04-28,Asian,20,2.3979,30,3.5969
2024-04-26,Friday,2024-04-28,European or Other,272,8.5875,243.2857,7.6809
2024-04-25,Thursday,2024-04-28,Maori,18,2.2443,37.7143,4.7024
2024-04-25,Thursday,2024-04-28,Pacific peoples,7,1.7904,15,3.8366
2024-04-25,Thursday,2024-04-28,Asian,30,3.5969,34.4286,4.1279
2024-04-25,Thursday,2024-04-28,European or Other,179,5.6513,241.7143,7.6313
2024-04-24,Wednesday,2024-04-28,Maori,51,6.3589,40.1429,5.0052
2024-04-24,Wednesday,2024-04-28,Pacific peoples,23,5.8828,16.8571,4.3116
2024-04-24,Wednesday,2024-04-28,Asian,37,4.4362,35.2857,4.2306
2024-04-24,Wednesday,2024-04-28,European or Other,264,8.3349,254.5714,8.0372
2024-04-23,Tuesday,2024-04-28,Maori,45,5.6108,40.7143,5.0764
2024-04-23,Tuesday,2024-04-28,Pacific peoples,21,5.3713,16.7143,4.2751
2024-04-23,Tuesday,2024-04-28,Asian,34,4.0765,35.5714,4.2649
2024-04-23,Tuesday,2024-04-28,European or Other,300,9.4715,249.7143,7.8839
2024-04-22,Monday,2024-04-28,Maori,52,6.4835,39.4286,4.9161
2024-04-22,Monday,2024-04-28,Pacific peoples,15,3.8366,16.4286,4.202
2024-04-22,Monday,2024-04-28,Asian,44,5.2754,36.7143,4.4019
2024-04-22,Monday,2024-04-28,European or Other,336,10.6081,246.7143,7.7892
