Statistical area 2 code (2018 areas),European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
128000,1026,168,48,33,3,18,18,3,1104,0,1104
128100,1344,123,81,750,72,33,18,15,2214,0,2214
128200,2706,267,123,414,54,27,27,0,3246,0,3246
128300,1941,759,1422,963,108,48,24,21,4350,0,4350
128400,1284,423,603,936,66,30,12,15,2874,0,2874
128500,2028,558,729,1029,90,57,33,21,3813,0,3813
128600,1248,78,24,180,33,12,12,0,1464,0,1464
128700,18,0,0,9,0,3,C,C,30,0,30
128800,3030,246,99,933,99,36,30,6,4131,0,4131
128900,1992,669,1218,1362,120,78,45,33,4686,0,4686
129000,879,453,834,768,111,24,3,18,2553,0,2553
129100,2406,777,1038,1245,159,72,42,30,4773,0,4773
129200,3189,348,306,402,78,39,36,3,3858,0,3858
129300,2262,264,126,576,90,45,39,9,3027,0,3027
129400,2310,336,180,294,66,42,42,3,2865,0,2865
129500,1170,390,750,924,84,24,18,6,2877,0,2877
129600,2151,609,1014,690,48,27,21,6,3801,0,3801
129700,2805,168,60,186,48,24,21,6,3036,0,3036
129800,2022,189,120,216,36,15,15,0,2343,0,2343
129900,3747,408,417,486,96,63,51,12,4602,0,4602
130000,1989,165,69,108,36,30,24,3,2151,0,2151
130100,1935,537,771,804,87,57,45,15,3537,0,3537
130200,1923,141,66,201,33,21,21,3,2205,0,2205
130300,2607,360,291,198,69,30,21,9,3099,0,3099
130400,1905,225,234,252,42,21,15,6,2337,0,2337
130500,852,444,1026,876,48,30,24,9,2766,0,2766
130600,1755,618,1467,1089,156,54,30,24,4320,0,4320
130700,3543,270,75,405,87,42,33,12,4098,0,4098
130800,1119,357,576,663,66,18,12,6,2388,0,2388
130900,2712,654,834,738,84,51,30,21,4263,0,4263
131000,735,411,897,948,93,15,12,6,2589,0,2589
131100,1842,360,693,729,174,42,30,9,3375,0,3375
131200,2874,279,258,276,75,48,30,15,3393,0,3393
131300,759,36,18,189,42,24,15,9,1008,0,1008
131400,1797,153,42,81,27,87,78,6,2025,0,2025
131500,2148,498,459,939,102,36,27,9,3573,0,3573
131600,2538,321,351,237,54,36,24,12,3099,0,3099
131700,1062,486,1443,1425,156,39,15,21,4017,0,4017
131800,3531,348,237,516,147,57,36,21,4407,0,4407
131900,1488,252,252,909,108,30,15,15,2685,0,2685
132000,2184,477,774,1482,168,66,42,24,4488,0,4488
132100,2259,363,501,354,105,24,18,6,3156,0,3156
132200,2511,360,396,1125,135,42,24,18,4044,0,4044
132300,1158,402,744,1299,87,33,21,15,3270,0,3270
132400,669,66,60,1224,144,21,9,9,2070,0,2070
132500,2967,369,270,369,57,60,45,18,3555,0,3555
132600,1026,324,546,1530,48,15,9,3,3120,0,3120
132700,753,72,78,1464,207,21,9,12,2475,0,2475
132800,2919,291,456,312,78,30,24,9,3588,0,3588
132900,1488,351,411,1035,99,27,24,6,2952,0,2952
133000,3087,174,75,138,54,45,42,0,3348,0,3348
133100,1128,276,534,1281,96,33,12,24,3030,0,3030
133200,1128,66,51,828,192,21,6,12,2193,0,2193
133300,891,99,78,1137,150,21,6,15,2274,0,2274
133400,660,144,111,2703,267,36,9,27,3756,0,3756
133500,1515,168,150,252,57,12,6,3,1890,0,1890
133600,2730,357,408,870,105,45,30,12,3981,0,3981
133700,816,60,30,648,111,18,9,9,1602,0,1602
133800,429,45,39,1335,156,24,6,18,1959,0,1959
133900,201,51,42,282,9,0,0,0,543,0,543
134000,1890,102,51,93,18,21,21,0,2013,0,2013
134100,636,123,54,747,141,21,9,12,1614,0,1614
134200,2553,333,252,873,84,45,27,18,3669,0,3669
134300,1428,126,75,684,150,18,6,12,2307,0,2307
134400,2571,369,459,348,78,36,27,9,3372,0,3372
134500,1260,120,72,1221,204,39,9,27,2748,0,2748
134600,2418,207,72,243,45,24,18,3,2682,0,2682
134700,2616,369,192,387,72,33,24,9,3177,0,3177
134800,30,9,6,66,12,0,0,0,105,0,105
134900,1266,255,462,1098,123,33,27,9,2886,0,2886
135000,1299,375,891,2031,126,45,36,6,4227,0,4227
135100,768,117,69,1887,216,21,6,18,2922,0,2922
135200,1719,177,150,591,48,18,12,6,2415,0,2415
135300,630,120,99,1887,225,33,15,18,2856,0,2856
135400,2370,291,258,603,45,45,36,12,3177,0,3177
135500,1182,288,609,1311,165,39,27,12,3222,0,3222
135600,843,237,360,1560,60,21,12,12,2793,0,2793
135700,618,45,36,543,177,15,6,9,1353,0,1353
135800,903,144,174,1296,117,21,15,6,2391,0,2391
135900,687,105,63,1119,132,21,6,12,1980,0,1980
136000,2148,216,117,1467,234,39,21,21,3933,0,3933
136100,1020,129,66,576,66,12,6,6,1686,0,1686
136200,1314,144,144,276,33,15,6,6,1710,0,1710
136300,2556,240,339,1068,69,36,27,12,3897,0,3897
136400,3054,201,87,942,159,42,27,15,4158,0,4158
136500,2103,498,681,1836,126,24,18,6,4650,0,4650
136600,1104,246,519,1611,96,21,12,6,3249,0,3249
136700,3636,285,132,288,60,60,42,21,4026,0,4026
136800,909,180,357,753,108,24,9,15,2046,0,2046
136900,1521,183,81,582,48,27,21,9,2235,0,2235
137000,1014,171,300,1077,57,18,15,0,2385,0,2385
137100,597,288,789,1359,159,33,15,18,2907,0,2907
137200,1146,225,558,2151,135,42,27,15,3873,0,3873
137300,1230,162,171,414,39,24,21,0,1782,0,1782
137400,2781,162,75,516,93,36,27,6,3405,0,3405
137500,2220,237,60,108,27,36,30,6,2385,0,2385
137600,1134,156,243,993,57,9,6,3,2337,0,2337
137700,522,294,183,225,42,12,9,6,1107,0,1107
137800,2424,210,144,885,99,33,21,9,3474,0,3474
137900,594,270,1332,1251,309,36,21,18,3429,0,3429
138000,2358,228,186,495,48,21,12,9,3006,0,3006
138100,2169,177,237,786,87,33,24,6,3204,0,3204
138200,1713,279,345,1272,129,39,30,6,3441,0,3441
138300,1272,327,825,2364,195,39,21,18,4509,0,4509
138400,2436,159,129,741,60,27,18,9,3279,0,3279
138500,1956,117,60,1935,105,36,27,9,3993,0,3993
138600,684,147,237,1245,57,21,12,12,2181,0,2181
138700,1572,156,108,1716,78,21,18,6,3420,0,3420
138800,6,3,6,48,3,0,0,0,60,0,60
138900,2067,258,312,1887,93,45,18,27,4236,0,4236
139000,1962,156,96,807,81,21,12,9,2892,0,2892
139100,438,225,828,822,96,21,12,12,2163,0,2163
139200,2157,213,120,462,75,30,21,6,2787,0,2787
139300,2079,171,132,831,57,27,21,6,3009,0,3009
139400,1989,99,57,777,42,27,21,6,2805,0,2805
139500,987,120,189,1365,33,21,15,6,2550,0,2550
139600,735,156,210,2061,75,27,18,12,3030,0,3030
139700,1725,255,408,1644,132,39,36,3,3813,0,3813
139800,1041,174,567,2973,138,36,24,12,4596,0,4596
139900,2547,180,87,1296,99,51,39,12,3951,0,3951
140000,2940,180,45,969,72,33,24,6,3969,0,3969
140100,1797,843,270,318,69,30,12,15,2838,0,2838
140200,1422,111,78,2349,81,27,21,6,3870,0,3870
140300,1674,174,123,1734,87,42,30,15,3567,0,3567
140400,696,207,504,2022,117,27,12,12,3324,0,3324
140500,2610,117,57,948,57,33,27,6,3582,0,3582
140600,951,237,654,600,141,24,12,9,2301,0,2301
140700,375,204,963,927,177,18,12,9,2412,0,2412
140800,1782,144,117,2022,102,33,27,6,3945,0,3945
140900,1599,186,294,2538,126,36,27,15,4473,0,4473
141000,2175,129,114,1617,84,36,33,3,3915,0,3915
141100,3390,186,78,768,159,51,33,18,4341,0,4341
141200,816,78,72,462,24,6,3,3,1344,0,1344
141300,1209,117,240,1701,99,33,24,6,3174,0,3174
141400,C,C,C,C,C,C,C,C,C,C,0
141500,1356,93,75,915,57,18,12,6,2391,0,2391
141600,2136,102,36,618,42,30,30,3,2802,0,2802
141700,1359,141,66,762,57,30,27,6,2235,0,2235
141800,3648,141,60,591,132,42,33,6,4350,0,4350
141900,2124,201,150,405,72,21,15,9,2730,0,2730
142000,1503,174,291,1902,126,27,21,9,3768,0,3768
142100,942,150,303,2310,69,24,15,12,3555,0,3555
142200,2160,192,138,2097,84,51,36,12,4392,0,4392
142300,681,279,1065,1554,138,21,12,6,3402,0,3402
142400,2286,123,33,411,42,24,18,6,2739,0,2739
142500,879,87,129,1017,54,21,18,3,2037,0,2037
142600,1284,132,195,1005,36,27,27,0,2502,0,2502
142700,3069,156,42,411,51,33,24,6,3525,0,3525
142800,2943,384,492,1080,105,42,21,21,4506,0,4506
142900,819,135,201,1338,81,24,9,15,2391,0,2391
143000,3405,144,39,426,105,21,15,9,3924,0,3924
143100,2514,192,102,1125,111,48,27,21,3774,0,3774
143200,1950,132,105,492,90,36,27,6,2598,0,2598
143300,2208,252,192,891,84,30,21,12,3306,0,3306
143400,1320,165,255,1269,51,27,12,15,2832,0,2832
143500,3210,183,87,762,105,30,21,9,4080,0,4080
143600,1530,198,213,1029,72,18,9,9,2775,0,2775
143700,1749,111,69,1227,87,24,18,6,3078,0,3078
143800,2157,264,354,1119,105,36,30,9,3618,0,3618
143900,1353,102,78,831,84,30,24,9,2307,0,2307
144000,3855,189,57,483,102,45,42,3,4398,0,4398
144100,2361,396,543,954,114,36,30,6,3855,0,3855
144200,87,6,6,45,3,6,3,0,147,0,147
144300,2133,351,639,1065,84,36,24,12,3798,0,3798
144400,2049,201,183,903,87,42,27,12,3153,0,3153
144500,1476,246,231,1068,111,18,9,9,2838,0,2838
144600,1308,147,45,54,39,12,9,6,1434,0,1434
144700,1725,918,1776,552,117,42,30,12,4413,0,4413
144800,1605,177,162,813,69,27,18,9,2580,0,2580
144900,1203,72,33,747,36,30,21,9,1980,0,1980
145000,1716,387,600,912,93,27,21,9,3249,0,3249
145100,3303,237,270,843,123,45,33,9,4434,0,4434
145200,1041,549,1599,486,72,27,12,12,3198,0,3198
145300,1884,192,207,1008,84,21,9,15,3129,0,3129
145400,114,75,69,87,9,6,3,3,321,0,321
145500,462,126,120,246,42,9,3,6,870,0,870
145600,1731,396,816,675,81,33,18,12,3237,0,3237
145700,1221,66,30,552,36,21,18,0,1812,0,1812
145800,1368,762,1587,342,57,30,18,12,3447,0,3447
145900,357,84,135,321,9,6,6,0,843,0,843
146000,1017,162,138,882,48,27,18,9,2067,0,2067
146100,2436,624,822,342,24,39,30,9,3510,0,3510
146200,1590,417,792,1743,81,42,15,27,4158,0,4158
146300,1329,1305,2598,651,90,30,18,15,4923,0,4923
146400,2037,99,63,873,42,39,15,24,3000,0,3000
146500,828,252,615,1194,60,30,18,12,2676,0,2676
146600,1263,411,648,1044,33,24,12,15,2985,0,2985
146700,66,30,21,123,6,0,0,0,225,0,225
146800,1740,594,864,438,27,51,24,21,3051,0,3051
146900,1137,135,51,39,39,9,6,3,1254,0,1254
147000,1305,1092,1821,798,72,42,15,27,4278,0,4278
147100,1452,483,735,1155,81,36,21,12,3426,0,3426
147200,1764,594,822,2082,129,54,30,24,4827,0,4827
147300,C,C,C,C,C,C,C,C,C,C,0
147400,27,6,18,90,0,0,0,0,132,0,132
147500,1443,723,1644,567,45,36,27,6,3735,0,3735
147600,1782,234,66,108,102,39,27,12,2067,0,2067
147700,12,0,3,3,0,0,C,C,18,0,18
147800,1950,117,72,807,54,39,27,12,2844,0,2844
147900,198,309,123,123,3,6,6,0,630,0,630
148000,1293,84,48,831,36,21,12,9,2190,0,2190
148100,2034,246,168,1251,54,39,24,12,3465,0,3465
148200,429,492,1800,429,12,12,6,3,2736,0,2736
148300,819,36,21,987,39,27,9,18,1848,0,1848
148400,1746,129,69,780,39,36,27,9,2583,0,2583
148500,276,426,1776,162,30,12,9,6,2349,0,2349
148600,348,417,2148,579,27,18,15,3,3105,0,3105
148700,1671,231,69,90,75,18,9,6,1905,0,1905
148800,837,54,33,1209,51,18,6,15,2124,0,2124
148900,537,831,3354,291,9,12,12,3,4341,0,4341
149000,1953,552,597,1698,99,57,18,39,4323,0,4323
149100,810,357,732,831,45,21,12,9,2391,0,2391
149200,1764,183,93,1512,78,48,30,15,3420,0,3420
149300,1332,234,186,1575,60,36,12,24,3138,0,3138
149400,408,468,2331,1059,45,15,9,9,3843,0,3843
149500,603,558,1479,594,24,24,15,9,2853,0,2853
149600,9,3,6,21,39,0,0,0,78,0,78
149700,1767,159,111,2232,90,57,21,36,4194,0,4194
149800,1461,348,417,1488,78,45,18,24,3366,0,3366
149900,2616,375,81,111,9,42,42,3,2919,0,2919
150000,285,531,3177,249,27,12,9,6,3762,0,3762
150100,258,219,519,504,6,12,9,3,1356,0,1356
150200,420,612,2667,462,6,18,12,9,3612,0,3612
150300,576,531,1959,1302,33,15,9,6,3870,0,3870
150400,2472,258,162,1356,75,66,45,21,4050,0,4050
150500,1299,321,270,1122,39,51,18,36,2721,0,2721
150600,2961,177,54,1014,57,39,30,12,4017,0,4017
150700,1443,348,297,1287,75,45,18,27,3126,0,3126
150800,423,600,3006,378,15,18,18,3,3831,0,3831
150900,591,348,1140,516,30,15,6,9,2307,0,2307
151000,318,450,2127,1104,27,27,18,9,3594,0,3594
151100,1167,159,51,45,45,9,6,3,1302,0,1302
151200,402,612,2361,435,27,6,3,3,3375,0,3375
151300,2160,204,186,2034,114,84,36,48,4512,0,4512
151400,930,711,1878,948,21,30,15,15,3888,0,3888
151500,1605,378,390,1353,78,39,18,21,3393,0,3393
151600,441,606,2724,426,18,9,6,3,3681,0,3681
151700,960,126,60,30,18,21,21,0,1071,0,1071
151800,483,648,2478,633,24,24,15,9,3753,0,3753
151900,735,513,1761,1071,39,15,6,12,3666,0,3666
152000,2355,189,138,849,72,54,27,24,3405,0,3405
152100,495,483,1695,957,24,9,3,6,3165,0,3165
152200,1629,147,78,1119,51,48,21,30,2862,0,2862
152300,162,18,27,114,6,6,3,3,309,0,309
152400,2652,240,120,798,69,54,24,30,3612,0,3612
152500,666,108,123,861,63,33,15,18,1695,0,1695
152600,156,324,1215,297,3,6,3,3,1782,0,1782
152700,21,6,9,6,0,0,0,0,33,0,33
152800,477,510,1905,1290,27,21,6,15,3786,0,3786
152900,1488,117,84,696,42,45,12,33,2292,0,2292
153000,324,369,1410,402,18,6,3,0,2187,0,2187
153100,1344,105,84,1002,66,39,6,30,2460,0,2460
153200,201,291,1134,345,12,3,3,0,1713,0,1713
153300,678,525,1689,1596,36,21,18,6,3930,0,3930
153400,3507,228,87,594,42,51,30,18,4224,0,4224
153500,357,876,2610,129,18,9,6,3,3369,0,3369
153600,345,351,1092,612,9,12,9,6,2061,0,2061
153700,1401,105,51,1407,90,42,9,30,2931,0,2931
153800,2106,156,108,2205,69,54,21,36,4473,0,4473
153900,930,72,54,1137,54,42,15,30,2163,0,2163
154000,1020,564,1410,2421,30,21,12,9,4779,0,4779
154100,714,399,576,2040,63,27,18,12,3408,0,3408
154200,885,831,2232,1887,15,30,24,6,4944,0,4944
154300,2250,138,66,510,27,24,12,12,2850,0,2850
154400,294,606,2115,192,9,9,3,6,2730,0,2730
154500,897,60,42,864,84,36,6,30,1902,0,1902
154600,C,C,C,C,C,C,C,C,C,C,3
154700,1269,66,57,1203,48,21,12,9,2532,0,2532
154800,873,606,1560,2253,63,57,42,15,4755,0,4755
154900,1302,522,837,2880,72,33,24,9,5085,0,5085
155000,3009,303,105,87,12,51,33,18,3207,0,3207
155100,357,876,3132,180,12,15,3,9,3930,0,3930
155200,861,156,165,1266,165,42,18,27,2463,0,2463
155300,759,51,51,1047,72,24,6,18,1914,0,1914
155400,1089,108,87,1545,135,78,27,51,2865,0,2865
155500,252,132,195,267,24,15,12,3,771,0,771
155600,816,546,1176,2274,72,27,21,9,4362,0,4362
155700,381,702,3021,171,6,3,3,0,3720,0,3720
155800,465,1017,3501,207,9,3,3,0,4389,0,4389
155900,642,597,1344,1698,36,42,24,21,3729,0,3729
156000,39,12,18,108,6,3,0,3,180,0,180
156100,636,96,126,1578,159,30,6,24,2436,0,2436
156200,774,396,717,2361,117,33,24,9,3972,0,3972
156300,1140,102,78,1467,108,27,15,15,2751,0,2751
156400,2730,237,60,246,36,45,24,24,3054,0,3054
