Area_Code,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
7022257,93,24,6,18,0,3,3,0,123,0,123
7022258,138,39,9,0,0,0,0,0,156,0,156
7022259,150,30,6,6,6,3,3,0,168,0,168
7022260,141,12,0,9,0,0,0,0,150,0,150
7022261,165,78,3,3,0,3,3,0,195,0,195
7022262,147,42,9,3,0,3,3,0,171,0,171
7022263,207,12,6,6,0,3,3,0,225,0,225
7022264,105,42,6,3,0,3,0,3,129,0,129
7022265,111,18,3,9,0,0,0,0,129,0,129
7022266,138,30,3,6,0,3,3,0,165,0,165
7022267,114,21,6,6,0,0,0,0,126,0,126
7022268,171,69,9,9,3,6,0,3,210,0,210
7022269,153,36,3,0,0,3,3,0,165,0,165
7022270,159,33,24,9,3,6,6,0,195,0,195
7022271,120,18,9,3,0,3,3,0,138,0,138
7022272,90,9,0,6,3,0,0,0,99,0,99
7022273,144,9,0,3,0,0,0,0,147,0,147
7022274,159,27,3,3,0,3,3,0,174,0,174
7022275,162,18,6,6,0,0,0,0,171,0,171
7022276,72,15,3,0,3,0,0,0,84,0,84
7022277,123,30,6,3,0,0,0,0,144,0,144
7022278,165,60,9,27,0,3,3,0,210,0,210
7022279,111,24,3,6,0,0,0,0,123,0,123
7022280,189,42,9,3,0,0,0,0,216,0,216
7022281,135,33,9,0,0,3,3,0,153,0,153
7022282,147,42,0,9,0,0,0,0,171,0,171
7022283,135,48,0,6,0,0,0,0,165,0,165
7022284,132,33,6,21,0,0,0,0,174,0,174
7022285,105,27,6,15,0,0,0,0,141,0,141
7022286,114,33,6,15,0,0,0,3,144,0,144
7022287,114,24,3,0,0,3,3,0,120,0,120
7022288,108,27,6,12,0,0,0,0,123,0,123
7022289,147,33,0,0,0,0,0,0,159,0,159
7022290,198,84,3,9,0,9,6,3,252,0,252
7022291,93,30,9,15,0,0,0,0,120,0,120
7022292,111,18,9,12,6,6,6,0,144,0,144
7022293,75,30,12,6,3,3,3,0,102,0,102
7022294,102,27,21,3,0,6,6,0,129,0,129
7022295,141,39,3,3,0,3,3,0,165,0,165
7022296,102,3,3,0,0,6,6,0,114,0,114
7022297,114,42,0,3,0,3,3,0,144,0,144
7022298,117,21,6,3,0,0,0,0,129,0,129
7022299,117,15,9,0,3,6,6,0,141,0,141
7022300,84,3,3,0,0,6,6,0,93,0,93
7022301,153,30,12,6,0,0,0,0,168,0,168
7022302,30,12,3,3,0,0,0,0,36,0,36
7022303,189,15,0,3,0,3,3,0,207,0,207
7022304,135,21,3,3,0,0,0,0,144,0,144
7022305,183,48,0,6,0,3,3,0,201,0,201
7022306,108,15,0,12,0,0,0,0,126,0,126
7022307,111,27,6,9,0,3,3,0,138,0,138
7022308,123,51,3,9,0,0,0,0,159,0,159
7022309,93,33,6,12,0,0,0,0,120,0,120
7022310,117,48,9,15,0,0,0,0,144,0,144
7022311,120,60,12,15,0,0,0,0,153,0,153
7022312,117,36,21,9,0,3,3,0,165,0,165
7022313,111,30,3,3,0,0,0,0,126,0,126
7022314,111,33,12,3,0,6,6,0,141,0,141
7022315,102,33,12,0,0,0,0,0,120,0,120
7022316,126,30,3,0,0,0,0,0,141,0,141
7022317,144,33,12,9,0,0,0,0,156,0,156
7022318,93,18,6,9,0,0,0,0,105,0,105
7022319,162,45,0,9,3,6,6,0,198,0,198
7022320,105,42,6,18,6,0,0,0,141,0,141
7022321,111,15,0,0,0,0,0,0,117,0,117
7022322,117,30,6,6,0,0,0,0,132,0,132
7022323,120,18,3,0,0,0,0,0,135,0,135
7022324,141,42,9,9,0,3,3,0,174,0,174
7022325,129,6,0,6,0,0,0,0,138,0,138
7022326,144,78,9,21,0,3,3,0,219,0,219
7022327,123,54,9,9,0,3,3,0,159,0,159
7022328,108,24,3,9,0,0,0,0,126,0,126
7022329,90,33,6,3,0,0,0,0,105,0,105
7022330,159,48,9,15,0,0,0,0,195,0,195
7022331,90,42,6,3,0,0,0,0,114,0,114
