Area_Code,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
7000000,21,126,9,3,0,0,0,0,141,0,141
7000001,27,93,15,0,0,0,0,0,114,0,114
7000002,C,C,C,C,C,C,C,C,C,C,0
7000003,51,207,21,3,0,0,0,0,225,0,225
7000004,54,99,6,3,0,0,0,0,138,0,138
7000005,84,102,12,0,0,0,0,0,174,0,174
7000006,81,42,3,3,0,3,3,0,105,0,105
7000007,180,102,9,9,0,9,9,0,240,0,240
7000008,171,90,3,0,0,0,0,0,228,0,228
7000009,105,33,6,0,3,3,3,0,120,0,120
7000010,C,C,C,C,C,C,C,C,C,C,0
7000011,96,42,3,0,0,3,3,0,120,0,120
7000012,C,C,C,C,C,C,C,C,C,C,0
7000013,C,C,C,C,C,C,C,C,C,C,0
7000014,C,C,C,C,C,C,C,C,C,C,0
7000015,C,C,C,C,C,C,C,C,C,C,0
7000016,C,C,C,C,C,C,C,C,C,C,0
7000017,C,C,C,C,C,C,C,C,C,C,0
7000018,42,0,0,0,0,0,0,0,42,0,42
7000019,192,117,9,0,3,6,3,3,243,0,243
7000020,123,75,3,0,0,0,0,0,156,0,156
7000021,147,105,6,9,0,0,0,0,204,0,204
7000022,123,132,3,3,0,6,6,0,186,0,186
7000023,105,72,9,3,0,3,0,0,153,0,153
7000024,114,129,6,15,0,0,0,0,186,0,186
7000025,54,99,9,0,0,0,0,0,108,0,108
7000026,51,48,3,6,0,3,3,0,90,0,90
7000027,93,153,15,0,0,6,3,6,204,0,204
7000028,117,78,12,0,0,0,0,0,162,0,162
7000029,120,99,6,3,0,3,3,0,177,0,177
7000030,150,114,12,3,0,3,3,0,207,0,207
7000031,126,177,12,9,0,6,3,0,237,0,237
7000032,156,84,12,3,3,6,6,0,198,0,198
7000033,96,57,3,3,0,0,0,0,138,0,138
7000034,93,45,3,3,0,0,0,0,126,0,126
7000035,198,78,12,6,0,9,6,0,237,0,237
7000036,159,51,3,0,0,3,3,0,183,0,183
7000037,36,63,3,0,3,0,0,0,87,0,87
7000038,63,87,27,3,3,3,3,3,141,0,141
7000039,66,90,9,0,0,3,0,3,138,0,138
7000040,129,69,0,3,0,3,3,0,171,0,171
7000041,123,24,0,3,0,0,0,0,132,0,132
7000042,180,102,9,12,0,6,3,0,240,0,240
7000043,225,147,9,9,0,6,6,0,321,0,321
7000044,207,150,9,9,0,6,6,0,312,0,312
7000045,120,57,6,3,0,0,0,0,159,0,159
7000046,132,63,6,3,0,3,3,0,171,0,171
7000047,108,39,3,6,0,3,3,0,138,0,138
7000048,75,18,0,6,0,3,3,0,90,0,90
7000049,198,99,15,3,6,6,6,0,255,0,255
7000050,123,57,6,3,3,3,3,3,171,0,171
7000051,147,45,9,3,0,0,0,0,174,0,174
7000052,132,33,3,3,0,3,3,0,147,0,147
7000053,90,42,3,3,0,3,3,0,108,0,108
7000054,159,105,30,6,3,3,3,0,246,0,246
7000055,132,54,9,6,3,3,3,0,171,0,171
7000056,87,27,3,3,0,3,3,0,108,0,108
7000057,90,24,3,6,0,3,3,0,108,0,108
7000058,93,24,0,0,0,0,0,0,108,0,108
7000059,168,54,6,6,0,6,3,0,204,0,204
7000060,108,96,12,3,0,0,0,0,165,0,165
7000061,102,9,0,6,0,3,3,3,114,0,114
7000062,78,21,0,3,0,0,0,0,90,0,90
7000063,114,60,0,3,0,3,3,0,141,0,141
7000064,C,C,C,C,C,C,C,C,C,C,0
7000065,141,90,6,3,0,0,0,0,189,0,189
7000066,90,39,0,0,0,0,0,0,108,0,108
7000067,54,96,3,0,0,0,0,0,129,0,129
7000068,165,60,6,3,0,0,0,0,180,0,180
7000069,126,21,3,3,0,3,3,0,144,0,144
7000070,144,78,6,3,0,0,0,0,192,0,192
7000071,105,102,9,3,0,6,6,0,192,0,192
7000072,57,108,9,0,0,0,0,0,132,0,132
7000073,87,84,9,0,0,0,0,0,141,0,141
7000074,87,42,0,3,0,3,0,0,117,0,117
7000075,87,180,9,3,0,3,3,0,225,0,225
7000076,66,177,12,9,0,0,0,0,201,0,201
7000077,84,174,9,0,3,3,3,0,216,0,216
7000078,132,90,0,3,0,0,0,0,180,0,180
7000079,114,75,9,0,0,0,0,0,159,0,159
7000080,108,54,9,3,3,3,3,0,126,0,126
7000081,57,144,9,0,0,3,3,0,165,0,165
7000082,144,93,6,3,0,0,0,0,180,0,180
7000083,78,51,3,3,0,3,3,0,108,0,108
7000084,87,111,9,6,3,0,0,0,174,0,174
7000085,123,132,18,12,3,0,0,0,216,0,216
7000086,84,117,18,0,0,0,0,0,159,0,159
7000087,66,84,6,3,0,0,0,0,108,0,108
7000088,135,180,24,24,3,0,0,0,273,0,273
7000089,90,180,21,3,0,3,3,0,219,0,219
7000090,78,180,18,0,0,0,0,0,210,0,210
7000091,72,135,24,6,0,3,3,0,168,0,168
7000092,54,132,9,3,0,0,0,0,147,0,147
7000093,60,105,21,3,0,0,0,0,132,0,132
7000094,60,141,12,3,0,0,0,0,171,0,171
7000095,93,162,18,18,0,0,0,0,204,0,204
7000096,72,171,12,15,3,0,0,0,207,0,207
7000097,90,114,18,9,0,0,0,0,171,0,171
7000098,54,147,12,6,0,0,0,0,162,0,162
7000099,51,78,3,9,0,0,0,0,111,0,111
7000100,84,156,12,0,0,0,0,0,204,0,204
7000101,90,93,9,3,6,0,0,0,159,0,159
7000102,45,78,9,0,0,0,0,0,111,0,111
7000103,48,84,0,12,0,0,0,0,120,0,120
7000104,123,135,21,36,0,6,6,0,267,0,267
7000105,78,123,9,3,3,0,0,0,171,0,171
7000106,108,126,21,9,0,3,3,0,222,0,222
7000107,90,162,24,0,0,0,0,0,213,0,213
7000108,63,39,6,3,3,3,3,0,96,0,96
7000109,114,78,21,24,0,6,3,3,177,0,177
7000110,93,78,12,18,0,0,0,0,162,0,162
7000111,87,72,15,3,0,0,0,0,129,0,129
7000112,108,120,9,15,6,6,0,3,189,0,189
7000113,66,93,15,6,3,0,0,0,129,0,129
7000114,138,81,6,9,0,3,3,0,207,0,207
7000115,111,102,15,12,0,9,6,3,165,0,165
7000116,204,81,18,39,3,0,0,0,306,0,306
7000117,90,57,6,3,0,0,0,0,129,0,129
7000118,117,54,9,6,0,3,3,0,141,0,141
7000119,111,63,9,3,0,0,0,0,156,0,156
7000120,117,90,6,6,0,3,3,0,168,0,168
7000121,123,75,3,0,0,6,0,3,165,0,165
7000122,135,60,3,0,0,6,6,0,177,0,177
7000123,81,120,3,3,0,3,0,0,174,0,174
7000124,102,54,6,6,0,3,3,0,126,0,126
7000125,126,78,6,6,0,6,6,0,183,0,183
7000126,150,117,6,9,0,9,6,3,234,0,234
7000127,156,90,3,3,3,3,3,0,204,0,204
7000128,156,45,3,3,0,3,3,0,186,0,186
7000129,105,90,6,0,0,3,3,0,156,0,156
7000130,84,27,6,0,0,6,6,0,102,0,102
7000131,105,123,3,3,0,3,3,0,198,0,198
7000132,102,168,21,0,0,0,0,0,228,0,228
7000133,213,60,3,0,0,3,3,0,237,0,237
7000134,168,138,15,3,0,3,3,0,270,0,270
7000135,129,30,0,3,0,0,0,0,138,0,138
7000136,90,117,12,0,0,0,0,0,183,0,183
7000137,105,102,6,3,6,3,0,3,186,0,186
7000138,162,24,3,3,0,3,3,0,180,0,180
7000139,231,51,6,3,3,0,0,0,255,0,255
7000140,165,30,3,3,3,0,0,0,174,0,174
7000141,171,15,3,9,0,9,9,3,189,0,189
7000142,135,90,0,3,0,0,0,0,201,0,201
7000143,156,111,3,6,3,0,0,0,210,0,210
7000144,183,114,18,6,6,3,3,0,243,0,243
7000145,126,105,12,0,3,0,0,0,192,0,192
7000146,87,102,21,3,0,3,3,0,153,0,153
7000147,81,123,6,9,0,0,0,0,165,0,165
7000148,114,198,15,6,3,3,3,0,267,0,267
7000149,51,117,3,0,0,3,3,0,144,0,144
7000150,39,57,12,0,3,0,0,0,84,0,84
7000151,39,69,12,0,3,0,0,0,96,0,96
7000152,66,42,0,0,0,0,0,0,90,0,90
7000153,165,75,0,3,0,0,0,0,216,0,216
7000154,138,84,9,6,3,0,0,0,189,0,189
7000155,120,60,6,0,3,3,3,0,147,0,147
7000156,147,108,9,3,0,6,6,0,222,0,222
7000157,54,138,9,0,0,0,0,0,159,0,159
7000158,87,204,15,12,0,3,3,0,264,0,264
7000159,72,111,6,0,0,3,0,0,153,0,153
7000160,84,81,0,3,0,0,0,0,135,0,135
7000161,93,48,3,0,0,3,3,0,123,0,123
7000162,144,18,3,3,0,3,3,0,147,0,147
7000163,102,6,3,6,0,3,3,0,108,0,108
7000164,150,36,3,3,0,3,0,3,162,0,162
7000165,165,39,6,0,0,3,3,0,192,0,192
7000166,111,9,0,6,0,6,6,0,126,0,126
7000167,198,36,9,9,3,0,0,0,219,0,219
7000168,162,27,3,9,0,0,0,0,183,0,183
7000169,171,39,12,12,0,3,3,0,189,0,189
7000170,231,63,6,6,0,0,0,0,255,0,255
7000171,135,24,6,6,0,3,3,0,144,0,144
7000172,114,81,9,18,6,0,0,0,174,0,174
7000173,144,18,3,3,3,3,0,3,156,0,156
7000174,111,30,6,0,3,6,3,3,123,0,123
7000175,90,12,0,3,0,0,0,0,99,0,99
7000176,93,21,6,0,0,0,0,0,105,0,105
7000177,180,30,0,6,3,3,3,0,198,0,198
7000178,192,33,3,12,0,6,6,0,210,0,210
7000179,207,39,6,3,0,0,0,0,216,0,216
7000180,93,63,6,3,0,3,3,0,144,0,144
7000181,99,33,6,0,0,0,0,0,114,0,114
7000182,30,156,3,0,0,0,0,0,171,0,171
7000183,51,114,18,3,0,3,0,3,138,0,138
7000184,51,93,9,0,0,3,0,3,123,0,123
7000185,30,126,6,0,0,0,0,0,138,0,138
7000186,45,132,15,0,0,3,3,0,153,0,153
7000187,72,84,12,3,0,0,0,0,132,0,132
7000188,15,156,18,0,0,0,0,0,165,0,165
7000189,15,84,6,0,0,0,0,0,96,0,96
7000190,78,78,9,6,0,0,0,0,135,0,135
7000191,24,99,0,0,0,0,0,0,111,0,111
7000192,45,90,6,3,0,3,3,0,123,0,123
7000193,99,108,30,12,3,3,3,0,177,0,177
7000194,99,48,9,3,0,0,0,0,123,0,123
7000195,126,63,3,6,0,0,0,0,168,0,168
7000196,99,24,3,0,0,0,0,0,114,0,114
7000197,90,75,12,3,0,3,3,0,153,0,153
7000198,96,93,12,3,0,0,0,0,171,0,171
7000199,72,81,15,3,0,6,3,3,147,0,147
7000200,177,84,0,0,0,0,0,0,219,0,219
7000201,C,C,C,C,C,C,C,C,C,C,0
7000202,192,60,6,0,0,3,3,0,213,0,213
7000203,69,18,0,0,0,6,6,0,78,0,78
7000204,108,45,0,0,0,3,3,0,144,0,144
7000205,204,42,0,6,0,6,3,0,219,0,219
7000206,135,54,3,6,0,0,0,0,174,0,174
7000207,144,21,0,3,3,0,0,0,150,0,150
7000208,171,66,3,3,0,3,0,3,213,0,213
7000209,153,141,12,0,0,6,6,0,249,0,249
7000210,84,84,0,3,3,0,0,0,138,0,138
7000211,192,45,12,6,0,3,3,0,222,0,222
7000212,183,24,3,0,3,3,3,0,192,0,192
7000213,231,24,6,6,0,6,6,0,249,0,249
7000214,99,66,15,3,0,3,3,0,150,0,150
7000215,147,15,6,9,3,0,3,0,159,0,159
7000216,111,21,6,0,3,3,3,0,123,0,123
7000217,156,45,12,6,6,3,3,0,186,0,186
7000218,129,42,3,6,6,3,3,0,159,0,159
7000219,132,69,3,0,0,3,3,0,180,0,180
7000220,210,39,3,9,0,3,3,0,237,0,237
7000221,180,15,9,15,0,3,6,0,204,0,204
7000222,129,30,3,3,0,0,0,0,135,0,135
7000223,147,15,3,0,0,0,0,0,153,0,153
7000224,249,27,6,9,0,0,0,0,264,0,264
7000225,141,24,3,18,0,3,3,0,171,0,171
7000226,177,36,12,9,3,0,0,0,195,0,195
7000227,96,12,9,9,3,0,0,0,105,0,105
7000228,96,48,15,12,3,0,0,0,135,0,135
7000229,198,78,9,12,0,3,0,0,249,0,249
7000230,96,90,27,3,9,3,0,3,174,0,174
7000231,135,21,15,18,3,0,0,0,168,0,168
7000232,168,24,6,15,6,0,0,0,195,0,195
7000233,114,3,0,18,9,0,0,0,138,0,138
7000234,126,15,6,6,6,0,0,0,138,0,138
7000235,138,12,0,0,6,0,0,0,147,0,147
7000236,168,21,0,9,3,3,3,0,186,0,186
7000237,132,15,0,9,0,0,0,0,147,0,147
7000238,117,39,15,15,0,0,0,0,156,0,156
7000239,198,21,0,3,0,3,3,0,213,0,213
7000240,300,72,24,54,3,3,0,3,399,0,399
7000241,126,75,12,12,3,3,3,0,189,0,189
7000242,141,57,3,12,3,0,0,0,192,0,192
7000243,135,36,3,3,0,0,0,0,141,0,141
7000244,141,36,0,6,0,3,3,0,159,0,159
7000245,126,36,6,12,0,3,3,0,150,0,150
7000246,126,30,0,3,0,0,0,0,135,0,135
7000247,189,6,15,6,0,0,0,0,201,0,201
7000248,132,24,3,9,0,0,0,0,147,0,147
7000249,222,48,6,12,3,3,3,0,258,0,258
7000250,135,21,3,0,0,3,3,3,153,0,153
7000251,123,18,3,3,0,0,0,0,126,0,126
7000252,168,24,3,15,0,3,3,0,186,0,186
7000253,216,48,0,6,0,0,0,0,234,0,234
7000254,177,18,3,9,0,0,0,0,189,0,189
7000255,207,33,3,3,0,0,0,0,222,0,222
7000256,120,27,0,3,3,3,3,0,132,0,132
7000257,222,60,3,6,0,3,3,0,243,0,243
7000258,168,24,3,9,3,3,3,0,186,0,186
7000259,141,21,6,0,0,0,0,0,156,0,156
7000260,147,18,0,3,3,0,0,0,153,0,153
7000261,153,30,6,3,6,3,0,0,177,0,177
7000262,96,0,0,0,0,0,0,0,96,0,96
7000263,135,42,3,6,0,6,6,0,162,0,162
7000264,159,27,6,3,0,0,0,0,171,0,171
7000265,159,54,3,6,0,0,0,0,180,0,180
7000266,213,60,0,3,3,3,0,3,252,0,252
7000267,240,69,15,15,3,0,0,0,297,0,297
7000268,30,18,0,6,0,3,0,3,51,0,51
7000269,159,60,12,6,9,0,0,0,198,0,198
7000270,129,48,0,9,3,0,0,0,168,0,168
7000271,123,36,9,9,0,0,0,0,162,0,162
7000272,198,66,9,3,6,3,3,0,246,0,246
7000273,48,123,6,0,0,3,3,0,159,0,159
7000274,72,141,18,6,3,3,3,0,171,0,171
7000275,C,C,C,C,C,C,C,C,C,C,0
7000276,153,36,3,15,3,3,3,0,186,0,186
7000277,135,66,9,30,6,3,0,3,201,0,201
7000278,84,24,6,3,0,3,0,3,99,0,99
7000279,210,69,0,12,0,3,3,0,273,0,273
7000280,117,15,0,9,3,3,3,0,138,0,138
7000281,150,27,6,6,0,3,3,0,168,0,168
7000282,72,33,3,18,0,0,0,0,120,0,120
7000283,177,27,0,3,0,0,0,0,192,0,192
7000284,132,42,6,3,0,3,3,0,165,0,165
7000285,102,6,0,3,0,3,3,0,108,0,108
7000286,168,30,0,6,0,3,3,0,183,0,183
7000287,120,18,0,3,0,0,0,0,135,0,135
7000288,99,21,0,3,0,3,3,0,108,0,108
7000289,135,42,0,6,3,3,3,0,159,0,159
7000290,117,15,0,6,3,0,0,0,132,0,132
7000291,162,33,0,0,3,0,0,0,183,0,183
7000292,63,153,12,6,0,0,0,0,180,0,180
7000293,57,111,3,0,0,0,0,0,141,0,141
7000294,81,93,18,0,3,3,3,0,144,0,144
7000295,60,123,12,0,0,6,6,0,150,0,150
7000296,102,81,3,0,0,3,0,3,144,0,144
7000297,63,120,12,6,0,3,0,3,162,0,162
7000298,54,129,18,3,0,3,3,0,165,0,165
7000299,45,123,3,3,3,3,3,0,147,0,147
7000300,30,78,0,0,0,0,0,0,99,0,99
7000301,207,264,45,30,3,6,3,3,462,0,462
7000302,60,183,18,3,0,0,0,0,222,0,222
7000303,39,105,0,0,0,0,0,0,126,0,126
7000304,153,72,3,0,0,3,3,0,198,0,198
7000305,183,63,3,3,0,6,6,0,228,0,228
7000306,15,111,6,0,0,0,0,0,111,0,111
7000307,60,126,6,3,3,0,0,0,156,0,156
7000308,195,93,3,0,0,0,0,0,240,0,240
7000309,99,66,6,3,0,3,3,0,132,0,132
7000310,57,159,15,0,0,0,0,0,198,0,198
7000311,93,60,3,0,0,0,0,0,132,0,132
7000312,96,42,3,6,0,0,0,0,126,0,126
7000313,141,39,6,6,0,3,0,0,177,0,177
7000314,177,27,6,3,0,0,0,0,198,0,198
7000315,156,30,9,12,6,0,0,0,192,0,192
7000316,108,12,0,3,0,9,9,0,117,0,117
7000317,117,30,3,9,0,0,0,0,138,0,138
7000318,135,27,9,3,0,0,0,0,150,0,150
7000319,138,30,3,3,3,3,3,0,162,0,162
7000320,144,42,6,3,0,6,6,0,171,0,171
7000321,123,126,9,0,0,3,3,0,216,0,216
7000322,69,144,6,3,0,6,3,3,183,0,183
7000323,108,114,9,3,0,0,0,0,189,0,189
7000324,96,132,21,0,0,3,0,0,198,0,198
7000325,105,105,15,3,3,0,0,0,186,0,186
7000326,72,66,6,3,0,0,0,0,114,0,114
7000327,72,93,15,6,0,3,0,0,153,0,153
7000328,84,297,15,15,3,0,0,0,330,0,330
7000329,93,222,27,9,0,0,0,0,276,0,276
7000330,66,120,21,3,0,0,0,0,165,0,165
7000331,30,126,12,0,0,0,0,0,138,0,138
7000332,81,141,21,3,0,3,3,0,186,0,186
7000333,72,72,3,3,0,3,3,0,138,0,138
7000334,69,222,24,6,0,0,0,0,255,0,255
7000335,102,138,15,21,0,3,3,0,225,0,225
7000336,75,141,9,12,0,0,0,0,204,0,204
7000337,60,126,6,0,0,3,0,3,153,0,153
7000338,63,180,9,12,0,0,0,0,225,0,225
7000339,48,126,21,6,0,3,3,0,162,0,162
7000340,108,174,18,6,0,0,0,0,231,0,231
7000341,93,213,21,18,0,0,0,0,279,0,279
7000342,63,192,21,18,3,3,0,3,240,0,240
7000343,45,135,9,0,0,0,3,0,153,0,153
7000344,84,132,24,9,0,3,3,0,201,0,201
7000345,60,126,21,6,0,0,0,0,162,0,162
7000346,18,105,6,0,0,0,0,0,111,0,111
7000347,39,111,9,0,0,0,0,0,135,0,135
7000348,69,174,15,0,3,3,3,3,201,0,201
7000349,57,171,12,3,0,3,3,0,198,0,198
7000350,78,138,24,12,0,6,6,0,186,0,186
7000351,60,117,24,18,0,0,0,0,171,0,171
7000352,36,141,21,0,0,0,0,0,156,0,156
7000353,63,105,12,9,0,3,0,3,159,0,159
7000354,48,135,18,0,0,0,0,0,147,0,147
7000355,60,138,9,18,0,3,0,0,180,0,180
7000356,48,123,18,3,0,0,0,0,153,0,153
7000357,60,120,6,0,3,0,0,0,153,0,153
7000358,81,123,3,6,0,3,3,0,162,0,162
7000359,78,162,18,3,0,3,3,0,210,0,210
7000360,30,156,15,3,0,0,0,0,171,0,171
7000361,27,159,6,0,3,0,0,0,171,0,171
7000362,39,141,6,0,0,0,0,0,153,0,153
7000363,24,162,12,0,0,0,0,0,171,0,171
7000364,39,159,12,0,0,0,0,0,177,0,177
7000365,36,162,12,3,0,0,0,0,180,0,180
7000366,21,150,12,3,3,0,0,0,159,0,159
7000367,39,102,15,0,0,0,0,0,120,0,120
7000368,45,114,15,0,0,0,0,0,144,0,144
7000369,60,171,9,6,0,0,0,0,189,0,189
7000370,93,75,12,9,0,0,0,0,150,0,150
7000371,99,213,21,0,0,3,3,0,249,0,249
7000372,87,117,21,21,0,0,0,0,186,0,186
7000373,111,195,18,6,0,3,0,3,258,0,258
7000374,66,123,18,15,0,3,3,0,165,0,165
7000375,84,237,18,9,0,3,0,3,297,0,297
7000376,75,120,12,6,0,3,3,0,162,0,162
7000377,141,168,18,3,12,3,3,0,249,0,249
7000378,141,60,9,3,3,3,3,0,162,0,162
7000379,180,105,6,6,3,3,3,0,240,0,240
7000380,108,21,0,6,0,3,3,0,123,0,123
7000381,147,159,12,12,0,3,0,3,252,0,252
7000382,72,105,9,3,0,0,0,0,165,0,165
7000383,87,75,6,3,0,0,0,0,132,0,132
7000384,63,90,3,3,0,0,0,0,129,0,129
7000385,72,36,3,3,0,3,3,0,102,0,102
7000386,90,102,0,3,0,3,0,0,168,0,168
7000387,99,99,12,3,0,3,3,0,168,0,168
7000388,84,30,3,0,3,0,0,0,102,0,102
7000389,111,39,3,0,0,0,0,0,129,0,129
7000390,132,78,3,0,3,0,0,0,186,0,186
7000391,201,60,6,3,0,3,3,0,231,0,231
7000392,102,48,0,3,3,0,0,0,141,0,141
7000393,45,96,12,3,0,3,3,0,141,0,141
7000394,111,33,3,0,0,0,0,0,126,0,126
7000395,168,39,6,3,0,0,0,0,180,0,180
7000396,126,114,18,3,3,3,3,0,204,0,204
7000397,150,39,6,0,3,3,3,0,165,0,165
7000398,102,21,0,0,3,0,0,0,114,0,114
7000399,42,63,3,0,0,0,0,0,96,0,96
7000400,114,45,12,3,0,0,0,0,150,0,150
7000401,C,C,C,C,C,C,C,C,C,C,0
7000402,C,C,C,C,C,C,C,C,C,C,0
7000403,C,C,C,C,C,C,C,C,C,C,0
7000404,141,33,0,0,0,0,0,0,150,0,150
7000405,117,96,0,3,0,3,3,0,180,0,180
7000406,153,36,0,0,0,3,3,0,171,0,171
7000407,123,54,9,0,0,6,6,0,159,0,159
7000408,C,C,C,C,C,C,C,C,C,C,0
7000409,C,C,C,C,C,C,C,C,C,C,0
7000410,C,C,C,C,C,C,C,C,C,C,0
7000411,C,C,C,C,C,C,C,C,C,C,0
7000412,C,C,C,C,C,C,C,C,C,C,0
7000413,9,C,C,C,C,C,C,C,9,C,9
7000414,C,C,C,C,C,C,C,C,C,C,0
7000415,C,C,C,C,C,C,C,C,C,C,0
7000416,93,114,9,3,0,3,3,0,186,0,186
7000417,102,177,12,0,0,3,3,0,234,0,234
7000418,18,87,6,0,3,0,0,0,99,0,99
7000419,117,72,3,3,0,3,3,0,168,0,168
7000420,120,33,9,6,0,0,0,0,135,0,135
7000421,57,51,3,3,0,0,0,0,90,0,90
7000422,168,93,6,3,3,6,3,3,225,0,225
7000423,162,39,3,3,0,3,3,0,183,0,183
7000424,111,12,0,0,0,3,0,3,117,0,117
7000425,165,36,0,0,3,0,0,0,195,0,195
7000426,180,42,3,3,0,3,3,0,195,0,195
7000427,84,30,3,6,0,3,0,3,99,0,99
7000428,198,33,3,3,0,9,9,0,216,0,216
7000429,132,24,6,0,0,3,3,3,135,0,135
7000430,93,15,3,0,0,3,3,0,105,0,105
7000431,147,12,0,0,0,3,3,0,156,0,156
7000432,201,39,0,6,3,6,6,0,216,0,216
7000433,207,27,9,6,9,12,12,0,234,0,234
7000434,228,51,9,9,0,3,3,0,249,0,249
7000435,192,36,6,9,0,0,0,0,213,0,213
7000436,144,42,0,0,0,6,6,0,171,0,171
7000437,111,21,0,0,0,0,0,0,114,0,114
7000438,99,18,0,9,0,6,6,0,114,0,114
7000439,132,30,3,0,0,3,3,0,150,0,150
7000440,144,66,12,6,0,3,3,0,183,0,183
7000441,270,18,6,18,0,0,0,0,285,0,285
7000442,123,36,15,9,0,0,0,0,144,0,144
7000443,192,30,0,3,3,0,0,0,201,0,201
7000444,105,12,0,6,0,3,3,0,114,0,114
7000445,C,C,C,C,C,C,C,C,C,C,0
7000446,129,111,12,6,0,0,0,0,192,0,192
7000447,99,63,12,3,3,0,0,0,153,0,153
7000448,126,102,9,9,0,0,0,0,192,0,192
7000449,132,114,3,0,0,12,9,3,210,0,210
7000450,81,63,9,0,0,0,0,0,123,0,123
7000451,96,12,0,0,0,0,0,0,105,0,105
7000452,117,24,3,0,0,0,0,0,126,0,126
7000453,159,30,6,0,3,3,0,3,168,0,168
7000454,246,36,3,9,0,3,3,0,267,0,267
7000455,105,12,3,3,0,0,0,0,114,0,114
7000456,81,6,0,0,0,3,3,0,87,0,87
7000457,111,57,9,3,0,6,3,3,144,0,144
7000458,75,60,9,3,0,0,0,0,111,0,111
7000459,129,120,15,9,0,3,0,3,216,0,216
7000460,81,39,0,12,0,0,0,0,114,0,114
7000461,123,78,6,3,0,6,3,3,165,0,165
7000462,183,30,3,9,0,6,6,0,204,0,204
7000463,114,18,0,6,0,6,0,6,129,0,129
7000464,165,33,0,3,0,3,3,0,174,0,174
7000465,138,21,0,0,3,0,0,0,150,0,150
7000466,180,36,3,0,0,0,0,0,195,0,195
7000467,93,84,18,3,0,0,0,0,162,0,162
7000468,87,15,3,6,0,0,0,0,93,0,93
7000469,C,C,C,C,C,C,C,C,C,C,0
7000470,120,21,0,3,0,3,3,0,129,0,129
7000471,153,18,3,3,0,3,3,0,165,0,165
7000472,144,9,0,3,0,3,3,0,153,0,153
7000473,171,24,3,3,0,6,6,0,183,0,183
7000474,123,33,0,0,0,0,0,0,138,0,138
7000475,174,39,3,6,0,0,0,0,198,0,198
7000476,129,45,3,0,0,3,3,0,156,0,156
7000477,192,39,3,0,0,3,3,0,207,0,207
7000478,78,42,6,0,0,3,3,0,120,0,120
7000479,60,9,0,0,0,0,0,0,66,0,66
7000480,126,24,9,6,0,0,0,0,135,0,135
7000481,189,18,3,6,0,0,0,0,198,0,198
7000482,126,72,21,9,3,0,0,0,192,0,192
7000483,135,27,6,12,6,3,3,0,159,0,159
7000484,117,18,6,0,0,3,3,0,126,0,126
7000485,135,9,0,0,0,3,3,0,141,0,141
7000486,120,18,3,3,0,0,0,0,123,0,123
7000487,177,51,0,3,6,9,6,0,210,0,210
7000488,87,12,3,0,3,0,0,0,93,0,93
7000489,108,12,0,3,0,0,0,0,114,0,114
7000490,66,18,0,0,0,0,0,0,75,0,75
7000491,105,15,0,3,0,3,3,0,117,0,117
7000492,258,39,3,6,3,3,3,0,276,0,276
7000493,114,24,6,0,3,0,0,0,126,0,126
7000494,123,42,0,3,0,6,3,3,138,0,138
7000495,108,24,3,0,0,3,3,0,120,0,120
7000496,141,63,0,0,0,3,3,0,177,0,177
7000497,120,15,3,0,0,9,9,0,129,0,129
7000498,111,30,6,3,0,3,3,0,123,0,123
7000499,216,60,6,15,3,9,6,3,273,0,273
7000500,87,9,3,3,0,3,3,0,93,0,93
7000501,147,24,0,3,0,0,0,0,159,0,159
7000502,141,30,3,6,0,3,3,0,156,0,156
7000503,126,18,0,12,0,3,3,3,147,0,147
7000504,138,27,0,9,0,0,0,0,153,0,153
7000505,132,15,0,3,0,3,3,0,147,0,147
7000506,150,21,0,6,3,0,0,0,159,0,159
7000507,189,33,0,6,0,9,6,3,207,0,207
7000508,117,21,0,0,0,6,6,0,129,0,129
7000509,174,18,0,0,0,3,3,0,180,0,180
7000510,75,30,0,3,0,0,0,0,93,0,93
7000511,147,42,3,6,0,0,0,0,171,0,171
7000512,96,30,3,0,0,0,0,0,108,0,108
7000513,141,24,6,3,0,0,0,0,147,0,147
7000514,102,21,3,0,3,0,0,0,114,0,114
7000515,159,39,6,18,9,0,0,0,204,0,204
7000516,153,27,3,0,0,0,0,0,159,0,159
7000517,123,18,0,3,3,0,0,0,132,0,132
7000518,132,21,0,6,0,6,6,0,150,0,150
7000519,243,27,0,3,3,6,6,0,255,0,255
7000520,183,21,0,18,0,0,0,0,198,0,198
7000521,177,39,3,9,3,0,0,0,198,0,198
7000522,210,24,0,0,0,3,3,0,222,0,222
7000523,24,0,0,0,0,0,C,C,24,0,24
7000524,111,18,0,0,0,3,3,0,123,0,123
7000525,171,12,3,6,0,0,0,0,180,0,180
7000526,159,9,0,30,0,3,3,0,189,0,189
7000527,114,12,0,12,3,6,6,0,138,0,138
7000528,69,84,6,3,0,3,3,0,123,0,123
7000529,198,24,6,51,9,3,3,0,267,0,267
7000530,75,12,6,9,0,0,0,0,93,0,93
7000531,144,24,0,36,3,3,3,0,189,0,189
7000532,141,21,3,6,0,0,0,0,159,0,159
7000533,81,15,0,3,0,0,0,0,90,0,90
7000534,78,6,3,6,0,0,0,0,84,0,84
